Episódio,Recompensa Total,Passos,Timesteps Globais
508,-1017.31,46,60089
509,-1053.54,161,60250
510,-1079.61,177,60427
511,-1010.06,26,60453
512,-1007.39,23,60476
513,-1064.01,178,60654
514,-513.04,50,60704
515,-1006.79,19,60723
516,-531.2,82,60805
517,-552.61,142,60947
518,-521.37,51,60998
519,-1005.33,19,61017
520,-1008.57,20,61037
521,-291.56,1001,62038
522,-1005.58,39,62077
523,-1016.96,141,62218
524,-510.52,47,62265
525,-1001.95,25,62290
526,-1001.12,17,62307
527,-1008.61,35,62342
528,-1004.12,18,62360
529,-1006.95,22,62382
530,-1002.4,21,62403
531,-1004.06,23,62426
532,-999.71,17,62443
533,-1002.2,17,62460
534,-999.57,15,62475
535,-1005.17,24,62499
536,-1005.93,38,62537
537,-500.15,114,62651
538,-997.72,14,62665
539,-1002.63,23,62688
540,-1000.64,17,62705
541,-1005.82,28,62733
542,-1002.71,21,62754
543,-1005.04,29,62783
544,-1026.51,166,62949
545,-520.88,110,63059
546,-1000.49,25,63084
547,-1005.23,21,63105
548,-1000.99,18,63123
549,-1009.65,72,63195
550,-1001.89,22,63217
551,-512.59,85,63302
552,-998.75,21,63323
553,-522.67,132,63455
554,-1004.16,18,63473
555,-1010.64,93,63566
556,-516.57,120,63686
557,-1019.45,149,63835
558,-1003.14,20,63855
559,-1008.55,72,63927
560,-1003.14,40,63967
561,-1007.01,18,63985
562,-508.99,106,64091
563,-1002.26,35,64126
564,-1001.58,26,64152
565,-1002.04,21,64173
566,-1002.58,27,64200
567,-1000.2,19,64219
568,-1000.74,22,64241
569,-509.59,87,64328
570,-1002.59,33,64361
571,-1000.68,19,64380
572,-1018.93,143,64523
573,-507.13,26,64549
574,-1026.64,152,64701
575,-1017.38,143,64844
576,-513.32,65,64909
577,-1005.15,21,64930
578,-509.67,84,65014
579,-1005.22,27,65041
580,-1002.63,23,65064
581,-1006.24,18,65082
582,-1002.95,22,65104
583,-521.29,117,65221
584,-1000.32,32,65253
585,-1001.0,20,65273
586,-1015.92,142,65415
587,-1006.26,21,65436
588,-123.44,1001,66437
589,-1001.51,16,66453
590,-999.1,30,66483
591,-1000.39,33,66516
592,-500.67,122,66638
593,-994.62,32,66670
594,-997.49,21,66691
595,-994.68,93,66784
596,-998.85,15,66799
597,-997.66,23,66822
598,-999.71,20,66842
599,-999.42,15,66857
600,-999.05,21,66878
601,-489.45,91,66969
602,-496.32,95,67064
603,-499.47,58,67122
604,75.31,1001,68123
605,-999.95,19,68142
606,-997.35,18,68160
607,-995.1,15,68175
608,-474.24,81,68256
609,-488.36,69,68325
610,-489.85,117,68442
611,-993.45,19,68461
612,-483.79,57,68518
613,-496.43,50,68568
614,-994.18,19,68587
615,-997.58,19,68606
616,-996.43,14,68620
617,-990.13,28,68648
618,-995.84,14,68662
619,-995.97,26,68688
620,-994.02,13,68701
621,163.66,1001,69702
622,-999.45,18,69720
623,-481.52,86,69806
624,-993.13,18,69824
625,-993.66,22,69846
626,-992.95,21,69867
627,-994.22,26,69893
628,-991.16,29,69922
629,-996.86,18,69940
630,-472.92,101,70041
631,-493.06,22,70063
632,-994.35,14,70077
633,-997.53,34,70111
634,-989.66,30,70141
635,-971.07,72,70213
636,-992.28,35,70248
637,-998.21,21,70269
638,-483.72,72,70341
639,-459.21,109,70450
640,-996.5,14,70464
641,-988.78,72,70536
642,-993.62,23,70559
643,-962.79,132,70691
644,-996.58,21,70712
645,-985.09,72,70784
646,-478.16,74,70858
647,-992.5,14,70872
648,-993.56,21,70893
649,-970.26,129,71022
650,-988.34,30,71052
651,-958.07,144,71196
652,-996.13,18,71214
653,-993.43,20,71234
654,-994.59,18,71252
655,-1000.54,26,71278
656,-989.41,34,71312
657,-473.07,73,71385
658,-992.32,13,71398
659,-993.16,27,71425
660,-993.28,14,71439
661,-997.32,15,71454
662,-997.01,18,71472
663,-982.25,84,71556
664,-475.46,76,71632
665,-465.75,100,71732
666,-993.13,33,71765
667,-485.88,46,71811
668,-486.09,58,71869
669,-993.38,17,71886
670,-996.23,18,71904
671,-466.35,111,72015
672,-995.53,19,72034
673,-993.71,24,72058
674,-975.26,84,72142
675,-994.31,14,72156
676,-490.35,30,72186
677,-994.14,19,72205
678,-995.9,20,72225
679,-994.57,19,72244
680,-488.92,30,72274
681,-994.86,26,72300
682,-997.29,14,72314
683,-992.83,33,72347
684,-984.23,72,72419
685,-992.38,21,72440
686,-991.09,32,72472
687,-996.48,14,72486
688,-993.49,15,72501
689,-991.58,26,72527
690,-995.45,36,72563
691,-995.8,14,72577
692,-994.4,22,72599
693,-994.18,19,72618
694,-959.13,125,72743
695,-994.53,22,72765
696,-995.12,19,72784
697,-472.94,93,72877
698,-994.01,13,72890
699,-475.3,82,72972
700,-990.42,13,72985
701,-993.44,19,73004
702,-994.67,37,73041
703,-994.38,16,73057
704,-994.54,18,73075
705,-994.79,13,73088
706,-993.45,21,73109
707,-995.45,20,73129
708,-996.3,28,73157
709,-966.53,141,73298
710,-966.03,138,73436
711,-975.43,127,73563
712,-994.18,15,73578
713,-480.31,45,73623
714,-986.49,32,73655
715,-991.62,35,73690
716,-995.91,17,73707
717,-995.39,13,73720
718,-976.39,81,73801
719,-996.17,14,73815
720,-998.75,40,73855
721,-482.44,52,73907
722,-997.72,20,73927
723,-994.31,23,73950
724,-993.58,24,73974
725,-994.94,26,74000
726,-992.74,42,74042
727,-485.03,57,74099
728,-489.58,43,74142
729,-993.79,25,74167
730,-490.99,54,74221
731,-995.85,19,74240
732,-995.6,18,74258
733,-993.8,19,74277
734,-474.39,82,74359
